village_code,visit_month,spray_status,total_residents,clinic_tests,total_rdts,avg_distance_to_health_facility_km,incidence_per_1000,positivity_rate,dist_missing,PRECTOTCORR,PRECTOTCORR_SUM,RH2M,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,prev_PRECTOTCORR,prev2_PRECTOTCORR,prev3_PRECTOTCORR,prev4_PRECTOTCORR,prev_PRECTOTCORR_SUM,prev2_PRECTOTCORR_SUM,prev3_PRECTOTCORR_SUM,prev4_PRECTOTCORR_SUM,prev_RH2M,prev2_RH2M,prev3_RH2M,prev4_RH2M,prev_T2M,prev2_T2M,prev3_T2M,prev4_T2M,prev_T2M_MAX,prev2_T2M_MAX,prev3_T2M_MAX,prev4_T2M_MAX,prev_T2M_MIN,prev2_T2M_MIN,prev3_T2M_MIN,prev4_T2M_MIN,prev_T2M_RANGE,prev2_T2M_RANGE,prev3_T2M_RANGE,prev4_T2M_RANGE,prev_incidence_per_1000
7002,2017-04-01,1,1500,0.0,12,7.6,2.67,0.5,0,4.8,144.0,82.95,24.79,32.44,18.57,8.52,5.78,3.42,5.64,4.39,179.29,95.65,174.98,136.03,81.43,76.28,80.25,73.46,26.44,28.34,27.93,28.93,34.95,36.88,36.15,41.27,19.6,22.56,22.69,23.09,8.54,9.68,8.54,11.07,2.67
7002,2017-05-01,1,1500,2.0,20,7.6,5.33,0.6,0,0.57,17.62,76.98,24.09,34.48,16.94,10.72,4.8,5.78,3.42,5.64,144.0,179.29,95.65,174.98,82.95,81.43,76.28,80.25,24.79,26.44,28.34,27.93,32.44,34.95,36.88,36.15,18.57,19.6,22.56,22.69,8.52,8.54,9.68,8.54,2.67
7002,2017-06-01,1,1500,10.0,18,7.6,6.67,0.83,0,1.12,33.53,75.51,22.93,33.03,15.85,10.83,0.57,4.8,5.78,3.42,17.62,144.0,179.29,95.65,76.98,82.95,81.43,76.28,24.09,24.79,26.44,28.34,34.48,32.44,34.95,36.88,16.94,18.57,19.6,22.56,10.72,8.52,8.54,9.68,5.33
7002,2017-07-01,1,1500,11.0,11,7.6,2.67,0.55,0,0.82,25.56,72.81,22.35,34.44,15.09,12.41,1.12,0.57,4.8,5.78,33.53,17.62,144.0,179.29,75.51,76.98,82.95,81.43,22.93,24.09,24.79,26.44,33.03,34.48,32.44,34.95,15.85,16.94,18.57,19.6,10.83,10.72,8.52,8.54,6.67
7002,2017-08-01,1,1500,13.0,14,7.6,4.0,0.64,0,0.36,11.16,64.53,23.72,38.06,15.29,13.29,0.82,1.12,0.57,4.8,25.56,33.53,17.62,144.0,72.81,75.51,76.98,82.95,22.35,22.93,24.09,24.79,34.44,33.03,34.48,32.44,15.09,15.85,16.94,18.57,12.41,10.83,10.72,8.52,2.67
7002,2017-09-01,1,1500,9.0,9,7.6,3.11,0.78,0,0.18,5.36,63.27,26.04,40.99,17.82,15.13,0.36,0.82,1.12,0.57,11.16,25.56,33.53,17.62,64.53,72.81,75.51,76.98,23.72,22.35,22.93,24.09,38.06,34.44,33.03,34.48,15.29,15.09,15.85,16.94,13.29,12.41,10.83,10.72,4.0
7002,2017-10-01,1,1500,7.0,7,7.6,1.33,0.43,0,0.34,10.41,56.29,28.93,45.03,17.2,15.96,0.18,0.36,0.82,1.12,5.36,11.16,25.56,33.53,63.27,64.53,72.81,75.51,26.04,23.72,22.35,22.93,40.99,38.06,34.44,33.03,17.82,15.29,15.09,15.85,15.13,13.29,12.41,10.83,3.11
7002,2017-11-01,1,1500,4.0,4,7.6,0.44,0.25,0,6.41,192.17,68.57,27.79,45.1,20.3,12.81,0.34,0.18,0.36,0.82,10.41,5.36,11.16,25.56,56.29,63.27,64.53,72.81,28.93,26.04,23.72,22.35,45.03,40.99,38.06,34.44,17.2,17.82,15.29,15.09,15.96,15.13,13.29,12.41,1.33
7002,2017-12-01,1,1500,5.0,6,7.6,0.89,0.33,0,10.29,319.0,79.49,26.98,36.75,19.29,9.31,6.41,0.34,0.18,0.36,192.17,10.41,5.36,11.16,68.57,56.29,63.27,64.53,27.79,28.93,26.04,23.72,45.1,45.03,40.99,38.06,20.3,17.2,17.82,15.29,12.81,15.96,15.13,13.29,0.44
7002,2018-01-01,1,1500,13.0,13,7.6,2.22,0.38,0,9.3,288.34,83.97,25.86,33.64,18.36,8.36,10.29,6.41,0.34,0.18,319.0,192.17,10.41,5.36,79.49,68.57,56.29,63.27,26.98,27.79,28.93,26.04,36.75,45.1,45.03,40.99,19.29,20.3,17.2,17.82,9.31,12.81,15.96,15.13,0.89
7002,2018-02-01,1,1500,14.0,14,7.6,2.67,0.43,0,5.32,148.99,86.12,26.69,32.48,21.66,7.03,9.3,10.29,6.41,0.34,288.34,319.0,192.17,10.41,83.97,79.49,68.57,56.29,25.86,26.98,27.79,28.93,33.64,36.75,45.1,45.03,18.36,19.29,20.3,17.2,8.36,9.31,12.81,15.96,2.22
7002,2018-03-01,1,1500,5.0,8,7.6,2.22,0.62,0,3.17,98.17,80.12,27.29,35.38,21.6,9.3,5.32,9.3,10.29,6.41,148.99,288.34,319.0,192.17,86.12,83.97,79.49,68.57,26.69,25.86,26.98,27.79,32.48,33.64,36.75,45.1,21.66,18.36,19.29,20.3,7.03,8.36,9.31,12.81,2.67
7002,2018-04-01,1,1500,10.0,12,7.6,4.0,0.75,0,4.29,128.71,80.59,25.53,34.49,19.86,9.05,3.17,5.32,9.3,10.29,98.17,148.99,288.34,319.0,80.12,86.12,83.97,79.49,27.29,26.69,25.86,26.98,35.38,32.48,33.64,36.75,21.6,21.66,18.36,19.29,9.3,7.03,8.36,9.31,2.22
7002,2018-05-01,1,1500,9.0,10,7.6,2.22,0.5,0,0.62,19.11,74.61,24.8,34.43,17.75,11.31,4.29,3.17,5.32,9.3,128.71,98.17,148.99,288.34,80.59,80.12,86.12,83.97,25.53,27.29,26.69,25.86,34.49,35.38,32.48,33.64,19.86,21.6,21.66,18.36,9.05,9.3,7.03,8.36,4.0
7002,2018-06-01,1,1500,10.0,11,7.6,3.56,0.73,0,0.61,18.4,70.6,22.81,33.61,14.76,12.12,0.62,4.29,3.17,5.32,19.11,128.71,98.17,148.99,74.61,80.59,80.12,86.12,24.8,25.53,27.29,26.69,34.43,34.49,35.38,32.48,17.75,19.86,21.6,21.66,11.31,9.05,9.3,7.03,2.22
